age,salary,department,years_experience,performance_score,city
25,45000,Engineering,2,88,Cairo
30,62000,Marketing,5,76,Alexandria
35,78000,Engineering,10,92,Cairo
28,51000,HR,3,81,Giza
42,95000,Engineering,18,97,Cairo
25,45000,Engineering,2,88,Cairo
31,67000,Marketing,6,79,Alexandria
38,84000,Finance,13,85,Cairo
27,49000,HR,2,74,Giza
33,71000,Engineering,8,90,Cairo
45,110000,Management,22,95,Cairo
29,54000,Marketing,4,80,Alexandria
36,81000,Finance,11,83,Giza
40,89000,Engineering,16,91,Cairo
26,47000,HR,1,70,Alexandria
52,125000,Management,28,98,Cairo
34,73000,Engineering,9,87,Giza
31,67000,Marketing,6,79,Alexandria
39,86000,Finance,14,86,Cairo
24,43000,HR,1,68,Giza
28,51000,HR,3,81,Giza
47,105000,Management,23,94,Cairo
32,69000,Engineering,7,89,Alexandria
37,83000,Finance,12,84,Cairo
41,92000,Engineering,17,93,Giza
26,47000,HR,1,,Alexandria
30,,Marketing,5,76,Cairo
35,78000,,10,92,Cairo
55,130000,Management,30,99,Cairo
23,41000,HR,0,65,Giza
